FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240424;1800;72;;;
240424;1900;245;;;
240424;2000;112;;;
240424;2100;145;;;
240424;2200;98;;;
240424;2300;42;;;
240425;0000;37;;;
240425;0100;19;;;
240425;0200;15;;;
240425;0300;10;;;
240425;0400;7;;;
240425;0500;17;;;
240425;0600;20;;;
240425;0700;45;;;
240425;0800;31;;;
240425;0900;40;;;
240425;1000;18;;;
240425;1100;31;;;
240425;1200;30;;;
240425;1300;57;;;
240425;1400;43;;;
240425;1500;49;;;
240425;1600;58;;;
240425;1700;32;;;
240425;1800;90;;;
240425;1900;77;;;
240425;2000;69;;;
240425;2100;91;;;
240425;2200;19;;;
240425;2300;38;;;
240426;0000;25;;;
240426;0100;17;;;
240426;0200;7;;;
240426;0300;20;;;
240426;0400;10;;;
240426;0500;7;;;
240426;0600;7;;;
240426;0700;37;;;
240426;0800;34;;;
240426;0900;29;;;
240426;1000;31;;;
240426;1100;24;;;
240426;1200;30;;;
240426;1300;18;;;
240426;1400;21;;;
240426;1500;23;;;
240426;1600;20;;;
240426;1700;25;;;
240426;1800;38;;;
240426;1900;69;;;
240426;2000;36;;;
240426;2100;43;;;
240426;2200;22;;;
240426;2300;23;;;
240427;0000;21;;;
240427;0100;10;;;
240427;0200;9;;;
240427;0300;5;;;
240427;0400;2;;;
240427;0500;3;;;
240427;0600;4;;;
240427;0700;10;;;
240427;0800;20;;;
240427;0900;14;;;
240427;1000;15;;;
240427;1100;10;;;
240427;1200;9;;;
240427;1300;20;;;
240427;1400;20;;;
240427;1500;18;;;
240427;1600;22;;;
240427;1700;46;;;
240427;1800;24;;;
240427;1900;26;;;
240427;2000;34;;;
240427;2100;44;;;
240427;2200;35;;;
240427;2300;15;;;
240428;0000;17;;;
240428;0100;19;;;
240428;0200;11;;;
240428;0300;11;;;
240428;0400;8;;;
240428;0500;5;;;
240428;0600;4;;;
240428;0700;4;;;
240428;0800;7;;;
240428;0900;11;;;
240428;1000;16;;;
240428;1100;9;;;
240428;1200;14;;;
240428;1300;17;;;
240428;1400;15;;;
240428;1500;28;;;
240428;1600;26;;;
240428;1700;45;;;
240428;1800;47;;;
240428;1900;47;;;
240428;2000;43;;;
240428;2100;36;;;
240428;2200;119;;;
240428;2300;45;;;
240429;0000;36;;;
240429;0100;19;;;
240429;0200;25;;;
240429;0300;42;;;
240429;0400;14;;;
240429;0500;12;;;
240429;0600;38;;;
240429;0700;63;;;
240429;0800;84;;;
240429;0900;47;;;
240429;1000;33;;;
240429;1100;38;;;
240429;1200;29;;;
240429;1300;18;;;
240429;1400;20;;;
240429;1500;19;;;
240429;1600;30;;;
240429;1700;57;;;
240429;1800;43;;;
240429;1900;32;;;
240429;2000;22;;;
240429;2100;15;;;
240429;2200;12;;;
240429;2300;22;;;
240430;0000;14;;;
240430;0100;12;;;
240430;0200;9;;;
240430;0300;10;;;
240430;0400;7;;;
240430;0500;6;;;
240430;0600;5;;;
240430;0700;47;;;
240430;0800;68;;;
240430;0900;37;;;
240430;1000;26;;;
240430;1100;31;;;
240430;1200;26;;;
240430;1300;27;;;
240430;1400;27;;;
240430;1500;19;;;
240430;1600;34;;;
240430;1700;53;;;
240430;1800;49;;;
240430;1900;;;65;
240430;2000;33;;;
240430;2100;62;;;
240430;2200;70;;;
240430;2300;72;;;
240501;0000;25;;;
240501;0100;122;;;
240501;0200;52;;;
240501;0300;7;;;
240501;0400;25;;;
240501;0500;27;;;
240501;0600;17;;;
240501;0700;14;;;
240501;0800;20;;;
240501;0900;29;;;
240501;1000;17;;;
240501;1100;14;;;
240501;1200;17;;;
240501;1300;18;;;
240501;1400;16;;;
240501;1500;9;;;
240501;1600;14;;;
240501;1700;38;;;
240501;1800;39;;;
240501;1900;53;;;
240501;2000;141;;;
240501;2100;322;;;
240501;2200;291;;;
240501;2300;174;;;
240502;0000;154;;;
240502;0100;102;;;
240502;0200;64;;;
240502;0300;44;;;
240502;0400;54;;;
240502;0500;28;;;
240502;0600;83;;;
240502;0700;150;;;
240502;0800;151;;;
240502;0900;29;;;
240502;1000;25;;;
240502;1100;17;;;
240502;1200;10;;;
240502;1300;11;;;
240502;1400;9;;;
240502;1500;16;;;
240502;1600;13;;;
240502;1700;25;;;
240502;1800;86;;;
240502;1900;41;;;
240502;2000;41;;;
240502;2100;45;;;
240502;2200;41;;;
240502;2300;33;;;
240503;0000;43;;;
240503;0100;10;;;
240503;0200;29;;;
240503;0300;30;;;
240503;0400;27;;;
240503;0500;28;;;
240503;0600;78;;;
240503;0700;115;;;
240503;0800;82;;;
240503;0900;55;;;
240503;1000;23;;;
240503;1100;36;;;
240503;1200;34;;;
240503;1300;15;;;
240503;1400;17;;;
240503;1500;20;;;
240503;1600;28;;;
240503;1700;54;;;
240503;1800;85;;;
240503;1900;56;;;
240503;2000;85;;;
240503;2100;81;;;
240503;2200;67;;;
240503;2300;58;;;
240504;0000;22;;;
240504;0100;9;;;
240504;0200;23;;;
240504;0300;5;;;
240504;0400;23;;;
240504;0500;4;;;
240504;0600;23;;;
240504;0700;47;;;
240504;0800;156;;;
240504;0900;82;;;
240504;1000;41;;;
240504;1100;21;;;
240504;1200;22;;;
240504;1300;26;;;
240504;1400;10;;;
240504;1500;20;;;
240504;1600;29;;;
240504;1700;67;;;
240504;1800;50;;;
240504;1900;68;;;
240504;2000;46;;;
240504;2100;19;;;
240504;2200;22;;;
240504;2300;22;;;
240505;0000;14;;;
240505;0100;15;;;
240505;0200;4;;;
240505;0300;5;;;
240505;0400;11;;;
240505;0500;12;;;
240505;0600;11;;;
240505;0700;6;;;
240505;0800;24;;;
240505;0900;12;;;
240505;1000;15;;;
240505;1100;16;;;
240505;1200;21;;;
240505;1300;22;;;
240505;1400;24;;;
240505;1500;30;;;
240505;1600;25;;;
240505;1700;44;;;
240505;1800;64;;;
240505;1900;64;;;
240505;2000;67;;;
